title,company,location,salary,tags,posted_date,source,link,scraped_at,confidence_score,credibility_score
Software Engineer III,Pearson,"Chennai, Tamil Nadu, India",Not specified,"fulltime, not applicable, Engineering and Information Technology, Education Administration Programs and E-Learning Providers",2026-09-24,linkedin,https://www.linkedin.com/jobs/view/4452742586,2026-09-26T00:23:16Z,61,61
Android Developer,Unikwork,"GJ, IN",Not specified,fulltime,2026-09-25,indeed,https://in.indeed.com/viewjob?jk=3f73c8d3cd6afe1b,2026-09-26T00:23:16Z,90,90
Java Developer,Capco,"Pune City, Maharashtra, India",Not specified,"fulltime, entry level, Engineering and Information Technology, Financial Services",2026-09-24,linkedin,https://www.linkedin.com/jobs/view/4462182295,2026-09-26T00:23:16Z,86,86
Android Developer Interns,Unikwork,"GJ, IN",Not specified,fulltime,2026-09-25,indeed,https://in.indeed.com/viewjob?jk=3523e4375c44fb9c,2026-09-26T00:23:16Z,75,75
Software Engineer III - GBS IND,Bank of America,"Chennai, Tamil Nadu, India",Not specified,"fulltime, mid-senior level, Engineering and Information Technology, Banking",2026-09-24,linkedin,https://www.linkedin.com/jobs/view/4471613724,2026-09-26T00:23:16Z,58,58
Software Engineer I,betterworks,"KA, IN",Not specified,fulltime,2026-09-25,indeed,https://in.indeed.com/viewjob?jk=0b1a39544cfd129d,2026-09-26T00:23:16Z,83,83
Sr./Software Developer,Emerson,"Pune Division, Maharashtra, India",Not specified,"fulltime, mid-senior level, Engineering and Information Technology, Automation Machinery Manufacturing",2026-09-24,linkedin,https://www.linkedin.com/jobs/view/4471455245,2026-09-26T00:23:16Z,72,72
Software Engineer - ENDUR,Shell,"KA, IN",Not specified,fulltime,2026-09-25,indeed,https://in.indeed.com/viewjob?jk=d440bcae970bef98,2026-09-26T00:23:16Z,60,60
Microservices JAVA with GCP-Software Engineer II,Deloitte,"Chennai, Tamil Nadu, India",Not specified,"fulltime, not applicable, Engineering and Information Technology, Business Consulting and Services",2026-09-24,linkedin,https://www.linkedin.com/jobs/view/4469713732,2026-09-26T00:23:16Z,63,63
Oracle PLSQL Lead Developer,Citi,"MH, IN",Not specified,fulltime,2026-09-25,indeed,https://in.indeed.com/viewjob?jk=9f3b7781218ddd8c,2026-09-26T00:23:16Z,62,62
